facilityid,name,latitude,longitude,baseline_summer_avg_tmax_f,threshold_f,source,prism_scale_m,retrieved
10000855,Cuesta Conservation Camp #24,35.329429003849334,-120.73344205123828,72.8,82.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006204,Holton Conservation Camp #16,34.300036648410114,-118.36033132151492,88.9,98.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000789,Baseline Conservation Camp #30,37.92402926410429,-120.52961603771271,94.2,104.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000774,Intermountain Conservation Camp #22,41.1231067161181,-121.22419725359636,82.3,92.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005328,Pilot Rock Conservation Fire Camp #15,34.271656892428354,-117.2814657468556,87.1,97.1,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000901,Fenner Canyon Conservation Camp #41,34.39010316279468,-117.77262913360008,85.5,95.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005264,Ishi Conservation Camp #18,40.31308214420257,-121.89495892375476,92.3,102.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000793,O.H.Close Youth Correctional Facility,37.89852127379901,-121.19769467027837,89.5,99.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005324,Mountain Home Conservation Camp #10,36.20791412059433,-118.71392800271092,84.5,94.5,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005256,Trinity River Conservation Camp #3,40.78981381613563,-122.80394970874065,85.2,95.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000877,Rainbow Conservation Camp #2,33.427961075610796,-117.11832774136676,86.8,96.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006497,Seal Beach Detention Center,33.75270984107934,-118.08776063978296,77.3,87.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006316,Fontana City Jail,34.10164898633541,-117.43379001368056,91.4,101.4,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006317,Garden Grove City Jail,33.77637797128475,-117.93573132365108,81.2,91.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000884,Ventura County East County Jail,34.24764369046445,-118.83478790538416,82.0,92.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10000815,Santa Cruz County Juvenile Hall,37.04370218416292,-122.04884959847284,82.3,92.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10001535,Riverside County Blythe Jail,33.613244388995795,-114.59791339322456,104.6,114.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005370,Lapd Hollywood Area Jail,34.09577047236163,-118.33065860825457,80.8,90.8,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005368,Lapd Metropolitan Detention Center,34.052080277150985,-118.240951738798,82.2,92.2,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006228,Camp Scott,34.457183406305845,-118.48669688989436,89.6,99.6,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10006230,Transitional Facilities,37.49315980362607,-122.22085687599696,76.3,86.3,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005369,Lapd Foothill Area Jail,34.253008666349736,-118.41049483281228,87.0,97.0,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
10005371,Lapd Valley Jail Section,34.183695097941026,-118.44523606464249,85.9,95.9,"PRISM Norm91m tmax (1991-2020 JJA mean daily-max), via Google Earth Engine",800,2026-07-17
